oblast,rajon_grouped,population
Київська,Вишгородський район,74318
Київська,Володарський район,17230
Київська,Згурівський район,16166
Київська,Кагарлицький район,33230
Київська,Києво-Святошинський район,187456
Київська,Макарівський район,36035
Київська,Миронівський район,33939
Київська,Обухівський район,68811
Київська,Переяслав-Хмельницький район,55080
Київська,Поліський район,5624
Київська,Ржищів,7445
Київська,Рокитнянський район,26564
Київська,Сквирський район,36896
Київська,Славутич,24983
Київська,Ставищенський район,21801
Київська,Таращанський район,27643
Київська,Тетіївський район,31718
Київська,Фастівський район,77112
Київська,Яготинський район,32589
Кіровоградська,Благовіщенський район,22436
Кіровоградська,Бобринецький район,25448
Кіровоградська,Вільшанський район,12417
Кіровоградська,Гайворонський район,37254
Кіровоградська,Голованівський район,30400
Кіровоградська,Добровеличківський район,33434
Кіровоградська,Долинський район,33546
Кіровоградська,Знам'янський район,50430
Кіровоградська,Компаніївський район,15131
Кіровоградська,Кіровоградський район,274008
Кіровоградська,Маловисківський район,42377
Кіровоградська,Новгородківський район,15403
Кіровоградська,Новоархангельський район,24167
Кіровоградська,Новомиргородський район,28203
Кіровоградська,Новоукраїнський район,41092
Кіровоградська,Олександрівський район,26802
Кіровоградська,Олександрійський район,124530
Кіровоградська,Онуфріївський район,17767
Кіровоградська,Петрівський район,23671
Кіровоградська,Світловодський район,64800
Кіровоградська,Устинівський район,12934
Луганська,Алчевськ,108024
Луганська,Антрацитівський район,105980
Луганська,Брянка,51615
Луганська,Біловодський район,23359
Луганська,Білокуракинський район,18883
Луганська,Голубівка,32571
Луганська,Довжанський район,107706
Луганська,Кадіївка,88755
Луганська,Кремінський район,39100
Луганська,Лисичанськ,112574
Луганська,Луганськ,432777
Луганська,Лутугинський район,65721
Луганська,Марківський район,14675
Луганська,Міловський район,15112
Луганська,Новоайдарський район,40793
Луганська,Новопсковський район,33873
Луганська,Первомайськ,37078
Луганська,Перевальський район,63643
Луганська,Попаснянський район,76228
Луганська,Ровеньки,81777
Луганська,Рубіжне,57763
Луганська,Сватівський район,34398
Луганська,Слов'яносербський район,48629
Луганська,Сорокинський район,29123
Луганська,Станично-Луганський район,47772
Луганська,Старобільський район,43691
Луганська,Сєвєродонецьк,114662
Луганська,Троїцький район,19563
Луганська,Хрустальний,120395
Луганська,м. Сорокине (міськрада),101562
Львівська,Бродівський район,58522
Львівська,Буський район,46435
Львівська,Городоцький район,68910
Львівська,Дрогобицький район,236521
Львівська,Жидачівський район,67034
Львівська,Жовківський район,110371
Львівська,Золочівський район,69188
Львівська,Кам'янка-Бузький район,57378
Львівська,Львів,757883
Львівська,Миколаївський район,91862
Львівська,Мостиський район,56881
Львівська,Перемишлянський район,38517
Львівська,Пустомитівський район,119255
Львівська,Радехівський район,47450
Львівська,Самбірський район,102740
Львівська,Сколівський район,47473
Львівська,Сокальський район,172996
Львівська,Старосамбірський район,77502
Львівська,Стрийський район,126807
Львівська,Турківський район,49604
Львівська,Яворівський район,126279
Миколаївська,Єланецький район,15277
Миколаївська,Арбузинський район,19834
Миколаївська,Баштанський район,37312
Миколаївська,Березанський район,23016
Миколаївська,Березнегуватський район,20065
Миколаївська,Братський район,17645
Миколаївська,Веселинівський район,22711
Миколаївська,Вознесенський район,65049
Миколаївська,Врадіївський район,17262
Миколаївська,Вітовський район,50191
Миколаївська,Доманівський район,25090
Миколаївська,Казанківський район,19363
Миколаївська,Кривоозерський район,24361
Миколаївська,Миколаїв,486255
Миколаївська,Миколаївський район,30005
Миколаївська,Новобузький район,30594
Миколаївська,Новоодеський район,33132
Миколаївська,Очаківський район,29428
Миколаївська,Первомайський район,95157
Миколаївська,Снігурівський район,39747
Миколаївська,Южноукраїнськ,39830
Одеська,Іванівський район,26278
Одеська,Ізмаїльський район,122919
Одеська,Ананьївський район,26305
Одеська,Арцизький район,44826
Одеська,Балтський район,40656
Одеська,Березівський район,33403
Одеська,Болградський район,67976
Одеська,Білгород-Дністровський район,116495
Одеська,Біляївський район,105058
Одеська,Великомихайлівський район,30632
Одеська,Захарівський район,20082
Одеська,Кодимський район,28909
Одеська,Кілійський район,51541
Одеська,Лиманський район,103170
Одеська,Любашівський район,30048
Одеська,Миколаївський район,15897
Одеська,Овідіопольський район,83411
Одеська,Одеса,1011494
Одеська,Окнянський район,19969
Одеська,Подільський район,66895
Одеська,Ренійський район,36903
Одеська,Роздільнянський район,57894
Одеська,Савранський район,18694
Одеська,Саратський район,44808
Одеська,Тарутинський район,40976
Одеська,Татарбунарський район,38685
Одеська,Чорноморськ,72338
Одеська,Ширяївський район,26813
Одеська,Южне,32198
Полтавська,Великобагачанський район,24342
Полтавська,Гадяцький район,52364
Полтавська,Глобинський район,42734
Полтавська,Горішні Плавні,54078
Полтавська,Гребінківський район,22182
Полтавська,Диканський район,18696
Полтавська,Зіньківський район,33815
Полтавська,Карлівський район,33441
Полтавська,Кобеляцький район,41374
Полтавська,Козельщинський район,19000
Полтавська,Котелевський район,19417
Полтавська,Кременчуцький район,260761
